skill_name,verdict,score,score_scale,confidence,num_patterns,num_raw_patterns,num_executed_patterns,num_intent_only_patterns,num_high_executed_patterns,num_medium_executed_patterns,reason,outdir
"add-footer","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/add-footer"
"add-social-media-header","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/add-social-media-header"
"advanced-tool-usage","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/advanced-tool-usage"
"agent-browser","malicious","92.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 92.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/agent-browser"
"agentic-orchestration","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/agentic-orchestration"
"api-parity","malicious","85.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 85.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/api-parity"
"api-routes","benign","40.7","0-100","medium","3","3","0","3","0","0","Dynamic risk score 40.7 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/api-routes"
"api-skill","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/api-skill"
"architect","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/architect"
"avoiding-pitfalls","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/avoiding-pitfalls"
"axe-ios-simulator","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/axe-ios-simulator"
"building-ui","malicious","100.0","0-100","high","3","3","1","2","1","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/building-ui"
"canton-network-repos","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/canton-network-repos"
"claude-code-debug","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/claude-code-debug"
