skill_name,verdict,score,score_scale,confidence,num_patterns,num_raw_patterns,num_executed_patterns,num_intent_only_patterns,num_high_executed_patterns,num_medium_executed_patterns,reason,outdir
"Charpup-skill-security-auditor-backdoor-skill","malicious","100.0","0-100","high","5","5","1","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/Charpup-skill-security-auditor-backdoor-skill"
"Charpup-skill-security-auditor-command-injection-skill","malicious","97.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 97.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/Charpup-skill-security-auditor-command-injection-skill"
"Charpup-skill-security-auditor-credential-harvester-skill","malicious","100.0","0-100","high","5","5","1","4","1","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/Charpup-skill-security-auditor-credential-harvester-skill"
"Charpup-skill-security-auditor-data-exfiltration-skill","malicious","100.0","0-100","high","4","4","1","3","1","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/Charpup-skill-security-auditor-data-exfiltration-skill"
"Charpup-skill-security-auditor-dependency-confusion-skill","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/Charpup-skill-security-auditor-dependency-confusion-skill"
"Charpup-skill-security-auditor-network-egress-skill","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/Charpup-skill-security-auditor-network-egress-skill"
"Charpup-skill-security-auditor-obfuscation-skill","malicious","97.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 97.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/Charpup-skill-security-auditor-obfuscation-skill"
"Charpup-skill-security-auditor-privilege-escalation-skill","malicious","91.5","0-100","high","3","3","1","2","0","0","Dynamic risk score 91.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/Charpup-skill-security-auditor-privilege-escalation-skill"
"Charpup-skill-security-auditor-prompt-injection-skill","benign","53.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 53.5 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/Charpup-skill-security-auditor-prompt-injection-skill"
"ZackKorman-skills-audit","malicious","85.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 85.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/ZackKorman-skills-audit"
"ZackKorman-skills-openclaw-admin-security-breakglass","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/ZackKorman-skills-openclaw-admin-security-breakglass"
"aaaaqwq-agi-super-skills-skills-deepwork-tracker","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/aaaaqwq-agi-super-skills-skills-deepwork-tracker"
"aaaaqwq-agi-super-skills-skills-env-setup","malicious","93.5","0-100","high","2","2","0","2","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/aaaaqwq-agi-super-skills-skills-env-setup"
"aaaaqwq-claude-code-skills-skills-deepwork-tracker","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/aaaaqwq-claude-code-skills-skills-deepwork-tracker"
"aaarnv-claude-skills-herobrine","malicious","100.0","0-100","high","5","5","0","5","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/aaarnv-claude-skills-herobrine"
"abpai-skills-codex","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/abpai-skills-codex"
"agentinsync-agentinsync-skill","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/agentinsync-agentinsync-skill"
"alfredang-skills-start-app","benign","53.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 53.5 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/alfredang-skills-start-app"
"arjenschwarz-agentic-coding-claude-skills-project-init","malicious","100.0","0-100","high","5","5","1","4","1","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/arjenschwarz-agentic-coding-claude-skills-project-init"
"arlenagreer-claude_configuration_docs-skills-email","benign","38.0","0-100","medium","2","2","1","1","0","0","Dynamic risk score 38.0 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/arlenagreer-claude_configuration_docs-skills-email"
"atrislabs-atris-atris-skills-magic-inbox","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/atrislabs-atris-atris-skills-magic-inbox"
"avivk5498-claude-code-beads-orchestration-dot-claude-skills-create-beads-orchestration","malicious","100.0","0-100","high","6","6","2","4","2","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/avivk5498-claude-code-beads-orchestration-dot-claude-skills-create-beads-orchestration"
"bigboggy-derp-derp","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_malicious_output_final/batch_detect_malicious/bigboggy-derp-derp"
"binhmuc-autobot-review-dot-claude-skills-frontend-development","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/binhmuc-autobot-review-dot-claude-skills-frontend-development"
"blessonism-openclaw-skills-gitclaw-backup","malicious","91.5","0-100","high","3","3","1","2","0","0","Dynamic risk score 91.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/blessonism-openclaw-skills-gitclaw-backup"
"boomsystel-code-openclaw-workspace-skills-autonomous-brain","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/boomsystel-code-openclaw-workspace-skills-autonomous-brain"
"boomsystel-code-openclaw-workspace-skills-financial-market-analysis","benign","38.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 38.5 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/boomsystel-code-openclaw-workspace-skills-financial-market-analysis"
"boomsystel-code-openclaw-workspace-skills-mia-twitter-stealth","benign","38.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 38.5 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/boomsystel-code-openclaw-workspace-skills-mia-twitter-stealth"
"boomsystel-code-openclaw-workspace-skills-nanopdf","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/boomsystel-code-openclaw-workspace-skills-nanopdf"
"boomsystel-code-openclaw-workspace-skills-yahoo-finance-who","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/boomsystel-code-openclaw-workspace-skills-yahoo-finance-who"
"boshu2-agentops-skills-update","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/boshu2-agentops-skills-update"
"britg-landing-the-plane-skill","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/britg-landing-the-plane-skill"
"buff-m-email-sender-skill","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/buff-m-email-sender-skill"
"cisco-ai-defense-skill-scanner-base64-payload","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cisco-ai-defense-skill-scanner-base64-payload"
"cisco-ai-defense-skill-scanner-database-query","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cisco-ai-defense-skill-scanner-database-query"
